9606	7003	8	AA	20061122
9606	51596	42	ACHAP	20060616
9606	1261	44	ACHM2	20050509
9606	54714	45	ACHM3	20050510
9606	7291	57	ACS3	20050510
9606	643309	61	ACTBP1	20110117
9606	648740	76	ACTG1P4	20120525
9606	100462767	77	ACTBP12	20110111
9606	79839	96	ACY1L	20090312
9606	348	99	AD2	20050510
9606	196883	110	ADCY4	20050510
9606	120	121	ADDL	20050510
9606	146	149	ADRA1D	20050504
9606	55630	168	AEZ	20050510
9606	375790	180	AGRN	20050510
9606	57486	184	AGTBP	20050504
9606	6567	193	AHDS	20051116
9606	57491	194	AHRR	20050510
9606	79026	195	AHNAK	20050510
9606	778	198	AIED	20080314
9606	10117	200	AIH2	20060527
9606	412	209	AKU	20050510
9606	391538	227	ALDOAP1	20050510
9606	401982	232	ALDRL1	20070710
9606	729347	234	AKR1B1P3	20071010
9606	390402	235	ALDRL4	20070718
9606	728113	244	ANXA8L2	20140409
9606	57679	252	ALS2	20050508
9606	23064	254	ALS4	20050509
9606	80208	255	ALS5	20190710
9606	55806	256	ALUNC	20050510
9606	7169	260	AMCD1	20050502
9606	4882	264	AMDM	20060513
9606	222005	294	ANTP1	20090226
9606	266623	296	ANTP3	20090226
9606	442525	298	ANTP5	20090226
9606	644042	299	ANTP6	20090226
9606	442255	300	ANTP7	20090226
9606	1280	315	AOM	20060513
9606	364	365	AQP7L	20050510
9606	644000	370	ARAF2P	20090421
9606	378	376	ARF2	20070330
9606	388	385	ARH6	20050510
9606	389	386	ARH9	20050510
9606	83872	404	ARMD1	20060514
9606	7043	422	ARVD1	20060531
9606	6262	423	ARVD2	20060513
9606	3106	426	AS	20060531
9606	129880	428	BBS5	20050502
9606	5309	437	ASMD	20140803
9606	389652	441	ASNSL1	20071213
9606	442167	446	ASSP1	20091023
9606	158452	448	ASSP3	20091003
9606	339845	452	ASSP7	20090325
9606	340274	456	ASSP11	20090116
9606	392302	457	ASSP12	20050805
9606	341230	458	ASSP13	20090322
9606	85300	464	ATCAY	20050510
9606	522	497	ATP5	20050510
9606	442416	500	ATP5A1P5	20100218
9606	498	502	ATP5AL2	20050510
9606	442416	503	ATP5A1P1	20100218
9606	645443	505	ATP5AP3	20081004
9606	665	510	ATP5C2	20050510
9606	509	511	ATP5CL1	20050510
9606	645560	512	ATP5CL2	20050510
9606	10476	519	ATP5H	20050510
9606	729435	530	ATP6V1EL1	20080816
9606	343515	531	ATP6V1E1P1	20100218
9606	100462844	532	ATP6V1E1P2	20110117
9606	50617	536	ATP6N2	20050502
9606	3184	548	AUF1	20050510
9606	54840	557	AXA1	20050509
9606	28982	559	AXPC1	20110202
9606	7080	562	BCH	20050510
9606	646282	564	AZGP1P1	20080716
9606	401393	565	AZGP1P2	20080716
9606	6872	569	BA2R	20050507
9606	84100	584	BBS3	20050504
9606	3827	589	BDK	20050504
9606	348980	609	HCN1	20050510
9606	27032	612	BCPM	20050502
9606	400892	614	BCRL2	20101116
9606	644165	615	BCRL3	20101116
9606	4920	621	BDB1	20050217
9606	9759	626	BDMR	20140218
9606	84295	630	BFLS	20060531
9606	23397	679	BRRN1	20050510
9606	10555	681	BSCL	20050508
9606	652963	691	BTF3L2	20070920
9606	132556	692	BTF3L3	20070921
9606	1028	702	BWS	20050510
9606	5002	703	BWSCR1A	20050510
9606	5003	704	BWSCR1B	20050510
9606	5728	707	BZS	20050510
9606	727859	723	C4BPAL1	20070714
9606	8577	736	C9orf2	20050502
9606	64776	737	C11orf1	20050503
9606	738	739	C11orf3	20090314
9606	9024	743	C11orf7	20050509
9606	29800	748	C16orf1	20050510
9606	10328	749	C16orf2	20081118
9606	10328	751	C16orf4	20050510
9606	754	756	C21orf3	20050510
9606	56934	769	CA10	20050503
9606	10216	787	CACP	20050217
9606	4854	791	CADASIL	20050510
9606	302	792	CAL1H	20050510
9606	100128390	803	CALM2P1	20090430
9606	802	809	CALML1	20090307
9606	1069	812	CALT	20050502
9606	147381	870	CBLN2	20050510
9606	871	872	SERPINH2	20050510
9606	84733	876	CBX2	20050502
9606	2201	877	CCA	20050503
9606	1415	879	CCA2	20050217
9606	2651	880	CCAT	20070522
9606	200575	888	CCL	20050502
9606	595	893	CCND1	20050504
9606	4171	903	CCNL1	20050510
9606	6261	906	CCO	20050504
9606	100133941	934	CD24	20080722
9606	27087	964	CD57~withdrawn	20050804
9606	146059	979	CDAN1	20050502
9606	10483	980	CDAN2	20100210
9606	728642	985	CDC2L2	20070612
9606	728642	986	CDC2L3	20050506
9606	1778	992	CDC23	20050510
9606	578	1035	CDN1	20050510
9606	10682	1037	CDPX2	20050217
9606	6584	1042	CDSP	20050503
9606	429	1064	CEPA	20060606
9606	1066	1067	CES2	20050510
9606	391039	1076	CFLL2	20080919
9606	100131874	1077	CFLP3	20081019
9606	645980	1078	CFLP4	20081019
9606	1947	1079	CFNS	20050505
9606	23230	1100	CHAC	20050510
9606	590	1110	CHE2	20141008
9606	6023	1115	CHH	20050510
9606	2228	1126	CHR39B	20050510
9606	2229	1127	CHR39C	20050510
9606	338917	1148	CHX10	20050504
9606	3561	1150	CIDX	20110211
9606	2074	1162	CKN2	20050510
9606	23203	1165	SCAR2	20170725
9606	492	1166	SCAX1	20140131
9606	160	1168	CLAPA1	20050510
9606	161	1169	CLAPA2	20050510
9606	163	1170	CLAPB1	20050510
9606	162	1171	CLAPB2	20050510
9606	164	1172	CLAPG1	20050510
9606	1917	1177	STN	20100604
9606	5243	1189	CLCS	20050509
9606	1811	1190	CLD	20050510
9606	9124	1194	CLIM1	20050510
